你,ni , คุณ
好,hǎo , ดี
你好,nǐhǎo , สวัสดี
我,wǒ , ฉัน
学生,xué shēng, นักเรียน
大学生,dàxuéshēng ,นักศึกษา
是,shì ,คือ/เป็น
工程师,gōngchéngshī ,วิศวกร
叫,jiào ,ถูกเรียกว่า/ชื่อ
汉语,Hànyǔ ,ภาษาจีน
学习,xué xí, เรียน
她,ta, เขา (ผู้หญิง)
他,ta , เขา (ผู้ชาย)
老师,lǎoshī ,ครู
中文老师,zhōngwén lăoshī ,ครูภาษาจีน
不,bù ,ไม่
吗,ma ,ไหม
米,mi, ข้าว /เมตร
人,rén ,คน
中国,zhōngguó, ประเทศจีน
泰国,Taiguo ,ประเทศไทย
名字,míng zi ,ชื่อ
的,de, ของ
什么,shénme, อะไร
要,yào ,ต้องการ
这,zhè ,นี่/ที่นี่
书,shū, หนังสือ
豆腐,dòufu, เต้าหู้
粥,zhōu ,โจ๊ก
茶,chá ,ชา
和,hé ,และ/กับ
汤,tāng ,ซุป
米饭,mǐ fàn ,ข้าวสวย
水,shuǐ, น้ำ
咖啡,kāfēi, กาแฟ
热,rè, ร้อน
说,shuō ,พูด
英语,yīngyu, ภาษาอังกฤษ
英文,yīngwén, ภาษาอังกฤษ
弟弟,dìdi, น้องชาย
同学,tóngxué, เพื่อนร่วมห้องเรียน
爸爸,bàba, พ่อ
妈妈,māma, แม่
美国,Měiguó, ประเทศอเมริกา
朋友,péngyou, เพื่อน
他们,tāmen, พวกเขา
我们,wǒmen, พวกเรา
你们,nımen, พวกคุณ
会,huì, เป็น/สามารถ
那,nă, ไหน
个,gè, อัน
国,guó, ประเทศ
谁,shéi/shuí, ใคร
嗨,hāi, สวัสดี
韩国,Hánguó, ประเทศเกาหลีใต้
下午,xiàwu ,ช่วงบ่าย 13.00-18.00
日本,Rìběn ,ประเทศญี่ปุ่น
你呢,nǐ ne ,แล้วคุณล่ะ
呢,ne, ล่ะ
去,qù ,ไป
北京,Běijīng ,ปักกิ่ง
回,huí ,กลับ
上海,Shànghǎi, เซี่ยงไฮ้
今天,jīn tiān วันนี้
昨天,zuó tiān, เมื่อวาน
号,hào ,วันที่/หมายเลข
这是,zhè shì ,นี่คือ
一,yī, หนึ่ง
二,èr, สอง
三,sān,สาม
四,sì,สี่
五,wǔ, ห้า
六,liù,หก
十,shi ,10
十一,shiyī , 11 (10+1)
十八,shibā , 18 (10+8)
二十,èrshi ,20 (2×10)
二十三,èrshisān, 23 (20+3)
三十,sānshi ,30 (3×10)
六十四,liùshisi, 64 (60+4)
零,líng 0
广州,Guăngshōu, กวางโจว
医生,yī shēng, หมอ
侓师,lushī ,ทนายความ
对不对,duìbuduì, ใช่ไหม
对,duì, ใช่
月,yuè, เดือน
生日,shēngrì, วันเกิด
明天,míngtiān, พรุ้งนี้
现在,xiànzài,ตอนนี้
星期,xīngqī, สัปดาห์
几,ji, กี่
点,dian, โมง
分,fēn, นาที
岁,suì, ขวบ/ปี
会,huì, สามารถ
运动,yùndòng, ออกกำลังกาย
做,zuò, ทำ
想,xiang, อยาก
喝,hē, ดื่ม
学校,xué xiào,โรงเรียน
看,kàn , ดู
星期三,xīngqīsān, วันพุธ
电影,diànyıng , ภาพยนต์/หนัง
家,jiā, บ้าน
上午,shàngwu ,ช่วงเช้า 8.00-11.00
中午,zhōngwu ,ตอนเที่ยง (11.00-13.00)
来,lái ,มา
了,le ,แล้ว
年,nián, ปี
喜欢,xihuan ,ชอบ
课,kè ,คาบ/วิชา/คลาส
数学,shùxué, คณิตศาสตร์
数学课,shùxuékè, คาบคณิตศาสตร์
上,shàng ,เรียน/บน/เข้า
音乐,yinyuè ,ดนตรี
吃,chī ,กิน
饭,fàn ,อาหาร/ข้าว
在,zài ,อยู่/อยู่ที่
买,mai , ซื้อ
苹果,píngguo ,แอปเปิ้ล
喝,hē ,ดื่ม
